cost iteration update organism_size num_germ generation generation_diff workload workload_propagule_ineligible
1 0 35500 15.3410 15.1150 106.9510 73.9510 1.2583 1.1835
1 0 35600 15.1440 14.9350 107.0100 74.0100 1.3681 1.2678
1 0 35700 15.4120 15.1510 107.2990 74.2990 1.3009 1.2057
1 0 35800 15.1160 14.8350 107.5020 74.5020 1.2698 1.1481
1 0 35900 16.2540 15.9260 107.5680 74.5680 1.2833 1.1669
1 0 36000 15.0940 14.7690 107.6990 74.6990 1.1634 1.1202
1 0 36100 15.3910 15.1380 107.6500 74.6500 0.9337 0.8800
1 0 36200 15.2310 14.9130 107.8260 74.8260 1.0141 0.9401
1 0 36300 14.9300 14.6150 108.0980 75.0980 1.1725 1.0803
1 0 36400 15.0450 14.7820 108.2380 75.2380 1.1800 1.0855
1 0 36500 14.4200 14.1580 108.5160 75.5160 1.3209 1.2231
1 0 36600 15.2370 15.0250 108.7200 75.7200 1.0622 0.9915
1 0 36700 14.7100 14.5120 108.8030 75.8030 1.3124 1.2533
1 0 36800 15.2000 14.9830 108.9650 75.9650 1.4624 1.3857
1 0 36900 14.4010 14.1300 109.2300 76.2300 1.5506 1.4536
1 0 37000 14.6730 14.4190 109.2640 76.2640 1.6515 1.5319
1 0 37100 14.4430 14.2820 109.5420 76.5420 1.6690 1.5285
1 0 37200 14.3210 14.1690 109.8050 76.8050 1.6664 1.5254
