cost iteration update organism_size num_germ generation generation_diff workload workload_propagule_ineligible
2 0 4600 8.4040 3.5980 6072.2632 46.2632 54.9838 0.2574
2 0 4700 8.7350 3.8540 6073.3379 47.3379 52.1669 0.3544
2 0 4800 8.4350 3.8310 6074.3389 48.3389 50.9867 0.3573
2 0 4900 8.4830 3.7000 6075.2578 49.2578 55.5350 0.3192
2 0 5000 8.6440 3.7850 6076.2158 50.2158 55.9882 0.3194
2 0 5100 8.4850 3.7300 6077.1528 51.1528 55.2937 0.1979
2 0 5200 8.5390 3.7480 6078.3062 52.3062 57.2793 0.7033
2 0 5300 8.5790 3.7320 6079.2622 53.2622 56.7669 0.3952
2 0 5400 8.6260 3.8970 6080.2520 54.2520 51.9124 0.4683
2 0 5500 8.5290 3.7030 6081.1631 55.1631 57.4241 0.4761
2 0 5600 9.0130 3.9340 6082.0430 56.0430 58.9305 0.4199
2 0 5700 8.8770 3.9520 6083.1060 57.1060 55.4806 0.4426
2 0 5800 8.8370 3.9010 6084.2578 58.2578 55.9103 0.3848
2 0 5900 8.6750 3.7170 6085.4390 59.4390 58.4757 0.4229
2 0 6000 8.5390 3.7080 6086.3081 60.3081 58.9884 0.2942
2 0 6100 8.6390 3.8300 6087.3481 61.3481 56.9611 0.2264
2 0 6200 8.7660 3.9730 6088.2651 62.2651 55.2131 0.5447
2 0 6300 8.7420 3.9050 6089.3770 63.3770 54.4962 0.3042
2 0 6400 8.6430 3.9580 6090.3989 64.3989 54.7065 0.3818
2 0 6500 8.6610 3.9810 6091.3999 65.3999 54.5064 0.3833
2 0 6600 8.5580 3.7630 6092.3628 66.3628 56.0185 0.4547
2 0 6700 8.7070 3.8470 6093.2119 67.2119 55.9859 0.3416
2 0 6800 8.5110 3.8030 6094.2349 68.2349 55.7315 0.2908
2 0 6900 8.7440 3.9130 6095.2090 69.2090 53.2393 0.3951
2 0 7000 8.9310 4.0730 6096.0322 70.0322 49.7682 0.3599
2 0 7100 8.9060 4.0900 6097.0649 71.0649 52.4192 0.2359
2 0 7200 8.9810 3.9350 6098.2280 72.2280 55.5213 0.4023
2 0 7300 8.9310 4.0950 6099.2388 73.2388 54.9960 0.3338
2 0 7400 8.5180 3.8440 6100.1948 74.1948 56.3536 0.4056
2 0 7500 8.9080 3.9840 6100.8511 74.8511 58.7286 0.4413
2 0 7600 8.6310 3.9330 6101.8950 75.8950 53.5094 0.5744
2 0 7700 8.5400 3.9770 6103.1128 77.1128 52.4852 0.2391
2 0 7800 8.8500 3.8710 6104.1230 78.1230 55.9002 0.5190
2 0 7900 8.6130 3.6550 6105.1431 79.1431 58.1955 0.7751
2 0 8000 8.4800 3.8130 6106.3472 80.3472 57.4987 0.5646
2 0 8100 8.8620 3.8700 6107.4648 81.4648 59.8592 0.4328
2 0 8200 8.4500 3.8610 6108.5972 82.5972 57.3140 0.3294
2 0 8300 8.7210 3.9970 6109.6758 83.6758 56.5034 0.4156
2 0 8400 8.6890 3.8570 6110.7119 84.7119 58.1401 0.4293
2 0 8500 8.4510 3.8430 6111.9028 85.9028 56.2079 0.5384
2 0 8600 8.5230 3.9660 6113.1392 87.1392 53.5219 0.8737
