"","strategy_rep","timepoint","mc_or_uni","rev_mut_ID","avg_workload","workload_sd","avg_growth_rate","growth_rate_sd","rel_fitness","num_iterations_F1","num_iterations_F2","proportion_fertile","label"
"5673",3447,"final","uni","97_29",2.02105263157895,0.205195670417031,1.38629436111989e-05,0,0.00367447845668241,100,95,0.95,"DW.30"
"5674",3447,"final","uni","97_32",2.55681818181818,4.53050441114847,1.38629436111989e-05,0,0.00367447845668241,100,88,0.88,"DW.30"
"5675",3447,"final","uni","97_34",5.51685393258427,21.906367048475,1.38629436111989e-05,0,0.00367447845668241,98,89,0.908163265306122,"DW.30"
"5676",3447,"final","uni","97_35",2,0,1.38629436111989e-05,0,0.00367447845668241,99,95,0.95959595959596,"DW.30"
"5677",3447,"final","uni","97_36",2.50561797752809,4.08746308158367,1.38629436111989e-05,0,0.00367447845668241,99,89,0.898989898989899,"DW.30"
"5678",3447,"final","uni","97_37",2,0,1.38629436111989e-05,0,0.00367447845668241,97,84,0.865979381443299,"DW.30"
"5679",3451,"transition","mc","0",189.06,226.365612015231,0.00318698336822422,0.000367231757535434,1,NA,NA,NA,"DW.31"
"5680",3451,"transition","uni","1_32",68.2758620689655,84.0277299892038,0.00307852884793319,0.00029194134379155,0.965969536781279,58,58,1,"DW.31"
"5681",3451,"transition","uni","6_0",95.6071428571429,116.776504263709,0.00303738123809035,0.000282620395826777,0.953058390067085,56,56,1,"DW.31"
"5682",3451,"transition","uni","6_1",103.333333333333,125.729632450709,0.00304409233477918,0.000268938031165644,0.955164173472087,57,57,1,"DW.31"
"5683",3451,"transition","uni","6_2",92.5,140.915957284985,0.00307672490117271,0.000251270722798737,0.965403500956158,58,58,1,"DW.31"
"5684",3451,"transition","uni","6_3",126.774193548387,178.88336884959,0.00311574035550137,0.000263580081268205,0.977645627701362,62,62,1,"DW.31"
"5685",3451,"transition","uni","6_6",111.170212765957,115.509894014197,0.00304341578377703,0.000328193899047018,0.954951887769911,47,47,1,"DW.31"
"5686",3451,"transition","uni","6_7",87.063829787234,93.7822186389294,0.00295254119406226,0.000362645424814406,0.926437590952162,47,47,1,"DW.31"
"5687",3451,"transition","uni","6_8",94.0847457627119,112.125589705226,0.00301003371606532,0.000311106572919868,0.944477384499972,59,59,1,"DW.31"
"5688",3451,"transition","uni","6_9",128.415094339623,148.292646474964,0.00299323565748696,0.000311636275126887,0.939206551038508,53,53,1,"DW.31"
